image,cells,free_mrna,nascent_mrna,total_mrna,mean_free_mrna,mean_nascent_mrna,variance_free_mrna,variance_nascent_mrna,cv_free_mrna,cv_nascent_mrna,cc
A,5,224.3435,2235.115,2459.458,44.8687,447.023,3788.377,656871.6,1.371776,1.813053,0.4990766
B,12,4421.238,46211.04,50632.27,368.4365,3850.92,76785.96,128599300,0.7521047,2.944794,-0.1673238
C,24,6464.81,173856.2,180321,269.3671,7244.006,238412.5,35384580,1.812675,0.8211608,-0.4979939
D,56,34932.91,377532.2,412465.1,623.802,6741.646,1317763,72428440,1.840229,1.262376,-0.2214848
E,52,21530.24,466012.9,487543.2,414.043,8961.787,431566.8,119654400,1.586641,1.22059,-0.101971
F,47,26312.45,339235.9,365548.3,559.8393,7217.784,259162.7,88615370,0.9093327,1.304219,-0.2205011
